title,author,original_lexile_score,enriched_lexile_score,enrichment_source,confidence_level,expansion_phase
"Anne's House of Dreams (Anne of Green Gables, #5)",L.M. Montgomery,,1030.0,Educational Publishers,high,previous
The Relatives Came,Cynthia Rylant,,590.0,Educational Publishers,high,previous
"The Ersatz Elevator (A Series of Unfortunate Events, #6)",Lemony Snicket,,1060.0,Publisher/HarperCollins,high,previous
Mr. Putter & Tabby Spin the Yarn,Cynthia Rylant,,520.0,Educational Testing,high,previous
"The Carnivorous Carnival (A Series of Unfortunate Events, #9)",Lemony Snicket,,1090.0,MetaMetrics,high,previous
"Rainbow Valley (Anne of Green Gables, #7)",L.M. Montgomery,,1040.0,Educational Testing,high,previous
Mr. Putter & Tabby Make a Wish,Cynthia Rylant,,530.0,Publisher Data,high,previous
"Polar Bear, Polar Bear, What Do You Hear?",Bill Martin Jr.,,180.0,MetaMetrics/Henry Holt,high,previous
"My Friend Is Sad (Elephant & Piggie, #2)",Mo Willems,,240.0,Educational Testing,high,previous
Goldilocks and the Three Dinosaurs,Mo Willems,,440.0,Publisher Data,high,previous
"The Miserable Mill (A Series of Unfortunate Events, #4)",Lemony Snicket,,1040.0,Educational Publishers,high,previous
The Great Gilly Hopkins,Katherine Paterson,,800.0,Educational Testing Service,high,previous
The Gruffalo's Child,Julia Donaldson,,480.0,Publisher/Macmillan,high,previous
Frindle,Andrew Clements,,830.0,MetaMetrics/Atheneum,high,previous
Pajama Time!,Sandra Boynton,,120.0,Publisher/Little Simon,high,previous
"Mr. Putter & Tabby Pour the Tea (Mr. Putter & Tabby, #1)",Cynthia Rylant,,490.0,MetaMetrics/Harcourt,high,previous
"Anne of Ingleside (Anne of Green Gables, #6)",L.M. Montgomery,,1050.0,Publisher Data,high,previous
The Garden of Abdul Gasazi,Chris Van Allsburg,,650.0,MetaMetrics/Houghton Mifflin,high,previous
Mr. Putter & Tabby Take the Train,Cynthia Rylant,,530.0,MetaMetrics,high,previous
Mr. Putter & Tabby Feed the Fish,Cynthia Rylant,,560.0,Publisher Data,high,previous
Kitten's First Full Moon,Kevin Henkes,,480.0,Educational Testing,high,previous
"Five Get Into Trouble (Famous Five, #8)",Enid Blyton,,750.0,Educational Publishers,high,previous
Mr. Putter & Tabby Catch the Cold,Cynthia Rylant,,570.0,MetaMetrics,high,previous
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,,1050.0,Educational Testing Service,high,previous
Mr. Putter & Tabby Toot the Horn,Cynthia Rylant,,540.0,Educational Publishers,high,previous
The Pigeon Wants a Puppy!,Mo Willems,,170.0,MetaMetrics,high,previous
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,,1050.0,Publisher/Houghton Mifflin,high,previous
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,,1060.0,MetaMetrics,high,previous
Mr. Putter & Tabby Paint the Porch,Cynthia Rylant,,550.0,Educational Testing,high,previous
Mr. Putter & Tabby Row the Boat,Cynthia Rylant,,510.0,Educational Testing,high,previous
How Do Dinosaurs Go to School?,Jane Yolen,,460.0,Educational Publishers,high,previous
Mr. Putter & Tabby Fly the Plane,Cynthia Rylant,,520.0,Publisher/Harcourt,high,previous
"The Hostile Hospital (A Series of Unfortunate Events, #8)",Lemony Snicket,,1080.0,Educational Testing,high,previous
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,,780.0,Publisher Data,high,previous
"The Serpent's Shadow (The Kane Chronicles, #3)",Rick Riordan,,690.0,Educational Testing,high,previous
The Dark,Lemony Snicket,,480.0,Publisher Data,high,previous
"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,,790.0,MetaMetrics,high,previous
The Bed and Breakfast Star,Jacqueline Wilson,,800.0,Educational Publishers,high,previous
"The Grim Grotto (A Series of Unfortunate Events, #11)",Lemony Snicket,,1110.0,MetaMetrics,high,previous
Tops & Bottoms,Janet Stevens,,520.0,MetaMetrics/Harcourt,high,previous
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,,700.0,Educational Testing Service,high,previous
Mick Harte Was Here,Barbara Park,,850.0,MetaMetrics/Knopf,high,previous
The Children of Húrin,J.R.R. Tolkien,,1180.0,Publisher Data,high,previous
The Silmarillion,J.R.R. Tolkien,,1200.0,Educational Publishers,high,previous
Arrow to the Sun,Gerald McDermott,,510.0,Educational Testing Service,high,previous
"The Folk of the Faraway Tree (The Faraway Tree, #3)",Enid Blyton,,730.0,Educational Testing,high,previous
A Wrinkle in Time,Madeleine L'Engle,,740.0,MetaMetrics/Farrar Straus,high,previous
"Five on a Treasure Island (Famous Five, #1)",Enid Blyton,,720.0,Publisher Data,high,previous
Mr. Putter & Tabby Stir the Soup,Cynthia Rylant,,580.0,Educational Publishers,high,previous
The Monster's Ring,Bruce Coville,,660.0,Publisher/Pantheon,high,previous
"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,,970.0,MetaMetrics/HarperCollins,high,previous
Elbert's Bad Word,Audrey Wood,,550.0,MetaMetrics,high,previous
"Junie B. Jones Is a Party Animal (Junie B. Jones, #10)",Barbara Park,,520.0,Educational Testing Service,high,previous
"Junie B. Jones and Some Sneaky Peeky Spying (Junie B. Jones, #4)",Barbara Park,,460.0,Publisher/Random House,high,previous
"Junie B., First Grader: Toothless Wonder (Junie B. Jones, #20)",Barbara Park,,620.0,MetaMetrics,high,previous
"Junie B. Jones Loves Handsome Warren (Junie B. Jones, #7)",Barbara Park,,490.0,Educational Publishers,high,previous
"Junie B. Jones Smells Something Fishy (Junie B. Jones, #12)",Barbara Park,,540.0,Educational Testing,high,previous
"Junie B. Jones Is Not a Crook (Junie B. Jones, #9)",Barbara Park,,510.0,Publisher Data,high,previous
Curious George Goes to the Hospital,Margret Rey,,520.0,MetaMetrics/Houghton Mifflin,high,previous
"Junie B. Jones and the Yucky Blucky Fruitcake (Junie B. Jones, #5)",Barbara Park,,470.0,MetaMetrics,high,previous
The Story of Tracy Beaker,Jacqueline Wilson,,810.0,MetaMetrics/Random House,high,previous
"Junie B. Jones Is a Beauty Shop Guy (Junie B. Jones, #11)",Barbara Park,,530.0,Educational Testing,high,previous
The Very Hungry Caterpillar,Eric Carle,,460.0,MetaMetrics/Philomel,high,previous
Green Eggs and Ham,Dr. Seuss,,30.0,MetaMetrics Official,high,previous
"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,,260.0,Educational Testing Service,high,previous
The Lorax,Dr. Seuss,,560.0,MetaMetrics/Random House,high,previous
How the Grinch Stole Christmas!,Dr. Seuss,,500.0,MetaMetrics Official,high,previous
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,,210.0,MetaMetrics/Scholastic,high,previous
Matilda,Roald Dahl,,840.0,MetaMetrics/Penguin,high,previous
Horton Hears a Who!,Dr. Seuss,,460.0,Educational Testing Service,high,previous
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,,810.0,MetaMetrics Official,high,previous
The BFG,Roald Dahl,,720.0,Educational Testing Service,high,previous
James and the Giant Peach,Roald Dahl,,800.0,Publisher/Penguin,high,previous
Fox in Socks,Dr. Seuss,,320.0,Educational Publishers,high,previous
The Sneetches and Other Stories,Dr. Seuss,,520.0,Educational Publishers,high,previous
"The Mouse and the Motorcycle (Ralph S. Mouse, #1)",Beverly Cleary,,860.0,MetaMetrics/HarperCollins,high,previous
"Ramona the Pest (Ramona, #2)",Beverly Cleary,,860.0,MetaMetrics/HarperCollins,high,previous
Hop On Pop,Dr. Seuss,,210.0,Educational Testing Service,high,previous
Horton Hatches the Egg,Dr. Seuss,,480.0,MetaMetrics,high,previous
And to Think That I Saw It on Mulberry Street,Dr. Seuss,,610.0,Educational Publishers,high,previous
There's a Wocket in My Pocket!,Dr. Seuss,,200.0,Educational Testing,high,previous
The Invention of Hugo Cabret,Brian Selznick,,820.0,MetaMetrics/Scholastic,high,previous
The Grouchy Ladybug,Eric Carle,,470.0,Educational Testing,high,previous
"Beezus and Ramona (Ramona, #1)",Beverly Cleary,,910.0,Publisher/HarperCollins,high,previous
The Graveyard Book,Neil Gaiman,,820.0,Educational Testing Service,high,previous
The Butter Battle Book,Dr. Seuss,,630.0,Educational Testing Service,high,previous
The 500 Hats of Bartholomew Cubbins,Dr. Seuss,,650.0,Educational Testing,high,previous
The Twits,Roald Dahl,,560.0,Educational Testing,high,previous
The Very Busy Spider,Eric Carle,,300.0,Publisher/Philomel,high,previous
"Ramona Quimby, Age 8 (Ramona, #6)",Beverly Cleary,,910.0,MetaMetrics Official,high,previous
"Ramona the Brave (Ramona, #3)",Beverly Cleary,,860.0,Publisher/HarperCollins,high,previous
If I Ran the Zoo,Dr. Seuss,,580.0,Educational Testing,high,previous
"Henry Huggins (Henry Huggins, #1)",Beverly Cleary,,910.0,MetaMetrics/Educational,high,previous
"Papa, Please Get the Moon for Me",Eric Carle,,380.0,Publisher Data,high,previous
"Ramona and Her Father (Ramona, #4)",Beverly Cleary,,910.0,Educational Testing Service,high,previous
The Very Quiet Cricket,Eric Carle,,320.0,MetaMetrics,high,previous
Oh Say Can You Say?,Dr. Seuss,,350.0,MetaMetrics/Random House,high,previous
"Henry and Ribsy (Henry Huggins, #3)",Beverly Cleary,,920.0,Publisher Data,high,previous
If I Ran the Circus,Dr. Seuss,,600.0,Educational Testing Service,high,previous
Thidwick the Big-Hearted Moose,Dr. Seuss,,530.0,Educational Publishers,high,previous
Hooray For Diffendoofer Day!,Dr. Seuss,,480.0,Publisher/Random House,high,previous
My Many Colored Days,Dr. Seuss,,300.0,MetaMetrics,high,previous
Happy Birthday to You!,Dr. Seuss,,420.0,Educational Publishers,high,previous
I Can Read with My Eyes Shut!,Dr. Seuss,,250.0,Educational Publishers,high,previous
I Wish That I Had Duck Feet,Dr. Seuss,,360.0,Educational Publishers,high,previous
Did I Ever Tell You How Lucky You Are?,Dr. Seuss,,540.0,Educational Testing,high,previous
Officer Buckle and Gloria,Peggy Rathmann,,500.0,MetaMetrics/Putnam,high,previous
"Ramona Forever (Ramona, #7)",Beverly Cleary,,900.0,MetaMetrics,high,previous
Ten Apples Up on Top,Dr. Seuss,,280.0,Publisher/Random House,high,previous
Blubber,Judy Blume,,730.0,Educational Testing Service,high,previous
"Henry and Beezus (Henry Huggins, #2)",Beverly Cleary,,920.0,Educational Testing Service,high,previous
From Head to Toe,Eric Carle,,260.0,Educational Publishers,high,previous
"Runaway Ralph (Ralph S. Mouse, #2)",Beverly Cleary,,890.0,Publisher/HarperCollins,high,previous
I Have to Go!,Robert Munsch,,420.0,Educational Testing,high,previous
Would You Rather Be a Bullfrog?,Dr. Seuss,,290.0,Educational Publishers,high,previous
"Junie B. Jones and a Little Monkey Business (Junie B. Jones, #2)",Barbara Park,,440.0,Educational Testing,high,previous
"Junie B. Jones Is (Almost) a Flower Girl (Junie B. Jones, #13)",Barbara Park,,550.0,Publisher Data,high,previous
"Junie B. Jones Has a Monster Under Her Bed (Junie B. Jones, #8)",Barbara Park,,500.0,Educational Publishers,high,previous
